,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[4565],0.162,0.057,0.065,0.271,0.0,0.0,33727.0,16746.0,1.0
p_pain[4566],0.993,0.006,0.983,1.0,0.0,0.0,37198.0,19508.0,1.0
p_pain[4567],0.128,0.051,0.042,0.225,0.0,0.0,33764.0,16634.0,1.0
p_pain[4568],0.621,0.055,0.517,0.723,0.0,0.0,38755.0,19571.0,1.0
p_pain[4569],0.493,0.061,0.38,0.609,0.0,0.0,37003.0,19650.0,1.0
p_pain[4570],0.709,0.05,0.615,0.803,0.0,0.0,39724.0,18792.0,1.0
p_pain[4571],0.896,0.034,0.833,0.957,0.0,0.0,39164.0,17913.0,1.0
p_pain[4572],0.925,0.029,0.871,0.974,0.0,0.0,38792.0,17850.0,1.0
p_pain[4573],0.979,0.013,0.954,0.997,0.0,0.0,37854.0,19393.0,1.0
p_pain[4574],0.779,0.046,0.691,0.863,0.0,0.0,39838.0,17965.0,1.0
p_pain[4575],0.967,0.018,0.934,0.994,0.0,0.0,38194.0,19262.0,1.0
p_pain[4576],0.976,0.014,0.949,0.996,0.0,0.0,37920.0,19375.0,1.0
p_pain[4577],0.216,0.062,0.104,0.333,0.0,0.0,34056.0,17087.0,1.0
p_pain[4578],0.403,0.065,0.281,0.524,0.0,0.0,35766.0,18584.0,1.0
p_pain[4579],0.525,0.06,0.414,0.639,0.0,0.0,37267.0,19811.0,1.0
p_pain[4580],0.854,0.04,0.781,0.926,0.0,0.0,39542.0,17772.0,1.0
p_pain[4581],0.646,0.054,0.543,0.744,0.0,0.0,39172.0,19280.0,1.0
p_pain[4582],0.953,0.022,0.911,0.988,0.0,0.0,38319.0,18766.0,1.0
p_pain[4583],0.957,0.021,0.918,0.989,0.0,0.0,38236.0,18886.0,1.0
p_pain[4584],0.933,0.027,0.882,0.978,0.0,0.0,38675.0,18157.0,1.0
